id,source_type,title,short_desc,url,tags,author,stars_or_downloads,updated_at
hf_sentence-transformers/all-MiniLM-L6-v2,hf_model,sentence-transformers/all-MiniLM-L6-v2,,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,"sentence-transformers, pytorch, tf, rust, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,134772024,2025-10-29T15:01:34.726299Z
hf_Falconsai/nsfw_image_detection,hf_model,Falconsai/nsfw_image_detection,,https://huggingface.co/Falconsai/nsfw_image_detection,"transformers, pytorch, safetensors, vit, image-classification, arxiv:2010.11929, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,97759285,2025-10-29T15:01:34.726299Z
hf_google/electra-base-discriminator,hf_model,google/electra-base-discriminator,,https://huggingface.co/google/electra-base-discriminator,"transformers, pytorch, tf, jax, rust, electra, pretraining, en, arxiv:1406.2661, license:apache-2.0, endpoints_compatible, region:us",,75684463,2025-10-29T15:01:34.726299Z
hf_google-bert/bert-base-uncased,hf_model,google-bert/bert-base-uncased,,https://huggingface.co/google-bert/bert-base-uncased,"transformers, pytorch, tf, jax, rust, coreml, onnx, safetensors, bert, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1810.04805, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,54334019,2025-10-29T15:01:34.726299Z
hf_dima806/fairface_age_image_detection,hf_model,dima806/fairface_age_image_detection,,https://huggingface.co/dima806/fairface_age_image_detection,"transformers, safetensors, vit, image-classification, dataset:nateraw/fairface, base_model:google/vit-base-patch16-224-in21k, base_model:finetune:google/vit-base-patch16-224-in21k, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,51862717,2025-10-29T15:01:34.726299Z
hf_FacebookAI/roberta-large,hf_model,FacebookAI/roberta-large,,https://huggingface.co/FacebookAI/roberta-large,"transformers, pytorch, tf, jax, onnx, safetensors, roberta, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1907.11692, arxiv:1806.02847, license:mit, autotrain_compatible, endpoints_compatible, region:us",,21560151,2025-10-29T15:01:34.726299Z
hf_openai/clip-vit-base-patch32,hf_model,openai/clip-vit-base-patch32,,https://huggingface.co/openai/clip-vit-base-patch32,"transformers, pytorch, tf, jax, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",,20570547,2025-10-29T15:01:34.726299Z
hf_timm/mobilenetv3_small_100.lamb_in1k,hf_model,timm/mobilenetv3_small_100.lamb_in1k,,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, arxiv:2110.00476, arxiv:1905.02244, license:apache-2.0, region:us",,18542608,2025-10-29T15:01:34.726299Z
hf_laion/clap-htsat-fused,hf_model,laion/clap-htsat-fused,,https://huggingface.co/laion/clap-htsat-fused,"transformers, pytorch, safetensors, clap, feature-extraction, arxiv:2211.06687, license:apache-2.0, endpoints_compatible, region:us",,18531695,2025-10-29T15:01:34.726299Z
hf_sentence-transformers/all-mpnet-base-v2,hf_model,sentence-transformers/all-mpnet-base-v2,,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,"sentence-transformers, pytorch, onnx, safetensors, openvino, mpnet, fill-mask, feature-extraction, sentence-similarity, transformers, text-embeddings-inference, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,17580061,2025-10-29T15:01:34.726299Z
